Item Code,Avg. Rate,Qty
91000081,0,2
91000082,0,9
91000083,0,5
91000084,0,5
91000086,0,3
91000087,0,5
91000088,0,6
91000089,0,1
91000090,0,1
91000092,0,21
91000093,0,1
91000094,0,4
91000095,0,2
91000097,1000,1
91000098,0,1
91000099,0,4
91000100,0,14
91000104,0,1
91000105,0,2
91000106,0,3
91000107,0,5
91000108,0,11
91000109,0,3
91000110,0,5
91000112,0,1
91000114,0,1
91000115,0,5
91000116,0,14
91000117,0,4
91000118,0,2
91000119,0,9
91000120,0,4
91000121,0,5
91000122,0,4
91000123,0,100
91000124,0,3
91000125,0,3
91000126,0,1
91000127,0,1
91000128,0,4
91000129,0,1
91000130,0,1
91000132,0,2
91000134,0,2
91000135,0,10
91000136,0,2
91000137,0,2
91000138,0,4
91000139,0,5
91000140,0,6
91000141,0,1
91000142,0,2
91000143,0,2
91000146,0,2
91000147,0,5
91000148,0,1
91000149,0,2
91000150,0,2
91000151,0,4
91000153,0,5
91000154,0,47
91000155,0,1
91000156,0,2
91000157,0,1
91000158,0,1
91000160,0,1
91000161,0,2
91000162,0,1
91000163,0,1
91000164,0,1
91000165,0,60
91000166,0,4
91000167,0,4
91000168,0,2
91000169,0,1
91000170,0,1
91000172,0,2
91000173,0,1
91000174,0,1
91000175,0,4
91000176,0,4
91000177,0,4
91000178,18.86,100
91000179,0,4
91000180,0,1
91000181,0,2
91000182,0,2
91000183,0,30
91000184,0,16
91000185,0,20
91000187,0,1
91000188,0,1
91000189,0,1
91000190,0,6
91000191,0,1
91000192,0,2
91000193,0,1
91000194,0,1
91000196,0,12
91000197,0,1
91000198,0,5
91000199,0,2
91000200,0,4
91000201,0,1
91000202,0,4
91000203,0,1
91000204,0,1
91000205,0,1
91000206,0,4
91000207,0,17
91000208,0,1
91000209,0,4
91000210,0,5
91000211,0,25
91000212,0,5
91000214,0,2
91000215,0,4
91000216,0,1
91000217,0,12
91000218,0,10
91000219,0,4
91000220,0,3
91000221,0,4
91000222,0,20
91000223,0,54
91000224,0,13
91000225,0,1
91000226,0,4
91000227,0,40
91000228,0,1
91000229,0,12
91000230,0,6
91000231,0,22
91000232,0,2
91000233,0,3
91000234,0,1
91000235,0,3
91000236,0,3
91000237,0,1
91000238,0,1
91000239,0,2
91000241,0,1
91000242,0,1
91000244,0,2
91000245,0,9
91000246,0,6
91002766,0,1
91002769,0,3
91002770,0,7
91002771,0,2
91002772,0,7
91002773,0,4
91002774,0,8
91002775,0,9
91002776,0,15
91002777,0,5
91002778,0,1
91002779,0,1
91002780,0,3
91002781,0,5
91002782,0,4
91002783,0,1
91002784,0,10
91002785,0,6
91002786,0,14
91002787,0,6
91002788,0,2
91002790,0,2
91002791,0,3
91002792,0,6
91002793,0,12
91002794,0,6
91002795,0,12
91002796,0,2
91002797,0,1
91002798,0,4
91002799,0,2
91002800,0,1
91002801,0,1
91002803,0,1
91002804,0,13
91002805,0,100
91002806,0,24
91002807,0,1
91002808,0,8
91002809,0,7
91002811,0,1
91002812,0,3
91002813,0,1
91002814,0,5
91002815,0,5
